rowid,id,age,occup,gender,origlat,origlon,destlat,destlon,orig_geom,dest_geom,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
2053,130399283,36_55,state,female,21.047494,105.87337,21.045612,105.8806,0101000020E6100000AED3484BE5775A4098C11891280C3540,0101000020E6100000E3361AC05B785A401E4E603AAD0B3540,visit,moto,1_3,0.778946063,7.0,cost convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,owner,parking,jam,unsafe,slow,500.0,donotcare,moto,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,disagree
2054,130445708,56_75,retired,female,21.041526,105.88607,21.048335,105.88174,0101000020E6100000DFFDF15EB5785A4007EFAB72A10A3540,0101000020E6100000CDE49B6D6E785A408E40BCAE5F0C3540,visit,moto,4_7,0.880435329,60.0,timesaving,0,2,0,0,,more_20,,,,,good,good,good,good,good,private_house,permanent,owner,parking,jam,unsafe,slow,3000.0,no,no,lighttrain,0,0,0,0,1,0,0,neutral,good,neutral,neutral,neutral,neutral,disagree
2055,130956985,56_75,retired,female,21.046979,105.875776,21.04697,105.87583,0101000020E6100000CAA7C7B60C785A404A99D4D0060C3540,0101000020E6100000C3B645990D785A40A4E4D539060C3540,shopping,moto,1_3,0.005692607,3.0,cost convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,owner,parking,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,good,neutral,disagree
2056,131131764,36_55,private,female,21.034008,105.834275,21.02893,105.823525,0101000020E6100000B537F8C264755A4068CD8FBFB4083540,0101000020E61000000F9C33A2B4745A408FDFDBF467073540,work,moto,4_7,1.25046134,15.0,timesaving,0,2,0,0,,,,,,,,,,,,private_house,permanent,owner,cost,jam,unsafe,unsafe,3000.0,yes,no,ebike,0,1,0,0,0,0,0,neutral,good,good,neutral,neutral,neutral,disagree
2057,131132716,18_25,student,female,21.058428,105.86459,21.050658,105.884698,0101000020E6100000B79C4B7155775A40B22B2D23F50E3540,0101000020E61000008B355CE49E785A40E04735ECF70C3540,education,moto,4_7,2.258436282,20.0,cost,0,1,0,0,,more_20,,,,,good,good,good,good,good,private_house,permanent,parent_house,parking,jam,unsafe,slow,2000.0,no,no,lighttrain,0,0,0,0,1,0,0,neutral,good,neutral,neutral,neutral,neutral,disagree
2058,131133346,18_25,student,male,21.053181,105.840329,21.046012,105.879811,0101000020E6100000583849F3C7755A40C1C41F459D0D3540,0101000020E61000004FEACBD24E785A403B394371C70B3540,education,moto,4_7,4.17407297,20.0,convinient,0,1,0,0,,more_20,,,,,good,good,good,good,good,private_house,permanent,parent_house,cost,jam,unsafe,slow,2000.0,donotcare,no,lighttrain,0,0,0,0,1,0,0,neutral,good,neutral,neutral,neutral,neutral,disagree
2059,131134493,18_25,student,female,21.025824,105.86162,21.025736,105.856515,0101000020E6100000176536C824775A40B073D3669C063540,0101000020E610000024624A24D1765A4071546EA296063540,education,moto,4_7,0.529946616,20.0,timesaving,0,2,0,0,,,,,,,,,,,,private_house,permanent,parent_house,cost,jam,unsafe,slow,3000.0,donotcare,no,lighttrain,0,0,0,0,1,0,0,neutral,good,neutral,neutral,neutral,neutral,disagree
2060,131134976,18_25,student,female,21.057066,105.885813,20.988245,105.798568,0101000020E6100000C9570229B1785A40AAB69BE09B0E3540,0101000020E610000075E8F4BC1B735A407E6FD39FFDFC3440,education,moto,4_7,11.85594945,30.0,convinient,0,1,0,0,,more_20,,,,,good,good,good,good,good,private_house,permanent,parent_house,cost,jam,unsafe,slow,3000.0,donotcare,no,lighttrain,0,0,0,0,1,0,0,neutral,good,neutral,neutral,neutral,neutral,disagree
2061,131152723,26_35,state,female,21.059619,105.911254,21.043721,105.925927,0101000020E610000059164CFC517A5A406138D730430F3540,0101000020E6100000F0DE5163427B5A40FF25A94C310B3540,work,ebike,11_13,2.333145681,15.0,convinient,2,0,0,1,,,,,,,,,,,,private_new,permanent,parent_house,cost,parking,jam,slow,50.0,yes,car,ebike,0,1,0,0,0,0,0,neutral,good,good,good,neutral,neutral,neutral
2062,131153131,26_35,state,female,21.043721,105.925927,21.013245,105.835024,0101000020E6100000F0DE5163427B5A40FF25A94C310B3540,0101000020E610000002D8800871755A40E5D5390664033540,work,car,8_10,10.02493278,10.0,convinient,2,1,0,0,,,,,,,,,,,,old_building,long_stay,parent_house,parking,jam,unsafe,slow,100.0,yes,car,car,1,0,0,0,0,0,0,good,neutral,neutral,neutral,neutral,neutral,agree
2063,131153601,36_55,private,female,20.988566,105.799085,21.006435,105.822834,0101000020E6100000596E693524735A4002F04FA912FD3440,0101000020E61000005C02F04FA9745A40BD8C62B9A5013540,work,moto,4_7,3.166420903,15.0,convinient,1,1,0,0,,,,,,,,,,,,high_rise,permanent,owner,parking,jam,unsafe,slow,500.0,no,moto,ebike bike walk,0,1,1,0,0,0,1,neutral,neutral,neutral,neutral,neutral,neutral,disagree
2064,131154761,36_55,private,male,21.012204,105.834059,21.045051,105.881849,0101000020E6100000CEFBFF3861755A4061E124CD1F033540,0101000020E6100000A9C0C93670785A40F0A65B76880B3540,work,moto,4_7,6.159778766,20.0,convinient,0,2,1,0,,,,,,,,,,,,private_new,long_stay,parent_house,parking,jam,unsafe,slow,20.0,yes,moto,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
2065,131155389,36_55,state,male,21.049777,105.889801,21.027548,105.81764,0101000020E6100000AEBCE47FF2785A40CE177B2FBE0C3540,0101000020E6100000B1F9B83654745A40F911BF620D073540,work,ebike,4_7,7.886418675,20.0,cost convinient,0,3,0,0,,,,,,,,,,,,private_house,long_stay,owner,parking,jam,unsafe,slow,30.0,yes,moto,car ebike,1,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
2066,131155937,less_18,student,male,20.98484,105.799431,21.053009,105.885677,0101000020E6100000261AA4E029735A40EACA67791EFC3440,0101000020E6100000717495EEAE785A40C76471FF910D3540,leisure,moto,4_7,11.73013298,20.0,cost convinient timesaving,0,more_5,0,0,,,,,,,,,,,,old_building,long_stay,parent_house,parking,jam,unsafe,slow,500.0,no,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
2067,131157038,less_18,state,female,21.03011,105.825139,21.034316,105.831228,0101000020E6100000DDE9CE13CF745A405648F949B5073540,0101000020E61000003FE1ECD632755A40C3BAF1EEC8083540,work,moto,4_7,0.78619599,15.0,convinient,0,3,0,0,,,,,,,,,,,,private_house,permanent,rent,parking,jam,unsafe,slow,30.0,yes,car,ebike bike bus lighttrain taxi walk,0,1,1,1,1,1,1,neutral,neutral,neutral,neutral,neutral,neutral,disagree
2068,131157227,18_25,private,female,21.051739,105.885856,21.035878,105.803114,0101000020E6100000C93D5DDDB1785A4081ED60C43E0D3540,0101000020E61000006C3D433866735A4059A5F44C2F093540,work,moto,4_7,8.766136982,20.0,convinient,0,3,0,0,,,,,,,,,,,,private_new,permanent,parent_house,parking,jam,unsafe,slow,300.0,yes,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,bad,verybad,disagree
2069,131157632,26_35,state,male,21.053221,105.886499,21.032554,105.912541,0101000020E6100000F33B4D66BC785A40DE7536E49F0D3540,0101000020E610000096D05D12677A5A409F5A7D7555083540,visit,moto,8_10,3.547581934,10.0,cost convinient,0,3,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,jam,unsafe,slow,30.0,donotcare,moto,car ebike bike,1,1,1,0,0,0,0,good,good,good,good,good,good,strongdisagree
2070,131158178,26_35,state,male,21.030923,105.846687,21.010639,105.851582,0101000020E6100000B2BCAB1E30765A40B8B1D991EA073540,0101000020E61000002FF7C95180765A40E90FCD3CB9023540,work,moto,11_13,2.311998873,15.0,cost convinient,4,3,2,1,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,unsafe,slow,20.0,yes,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
2071,131165609,18_25,state,male,21.027764,105.83416,21.027764,105.83416,0101000020E610000068E89FE062755A409301A08A1B073540,0101000020E610000068E89FE062755A409301A08A1B073540,education,moto,8_10,0.0,30.0,cost,0,1,0,0,,,,,,,,,,,,private_house,long_stay,parent_house,parking,jam,unsafe,slow,300.0,no,ebike,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
2072,131250562,26_35,private,male,21.017091,105.8311,21.047615,105.869836,0101000020E610000029ED0DBE30755A40520E661360043540,0101000020E61000008B389D64AB775A408ECC237F300C3540,work,moto,11_13,5.261446465,20.0,convinient,1,1,0,0,,,,,,,,,,,,private_new,permanent,parent_house,parking,jam,unsafe,slow,500.0,yes,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
2073,131250569,36_55,state,female,21.051887,105.885465,21.051887,105.885465,0101000020E61000002B306475AB785A406A166877480D3540,0101000020E61000002B306475AB785A406A166877480D3540,work,moto,11_13,0.0,30.0,convinient,1,3,0,0,,,,,,,,,,,,old_building,permanent,parent_house,parking,jam,unsafe,slow,30.0,no,moto,ebike bike,0,1,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
2074,131250571,26_35,private,male,21.051887,105.885465,21.051887,105.885465,0101000020E61000002B306475AB785A406A166877480D3540,0101000020E61000002B306475AB785A406A166877480D3540,work,moto,11_13,0.0,5.0,cost convinient,0,more_5,0,0,,,,,,,,,,,,old_building,permanent,parent_house,parking,jam,unsafe,slow,300.0,no,moto,ebike bike,0,1,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
2075,131250572,26_35,state,female,21.044891,105.849691,21.034396,105.830714,0101000020E6100000282D5C5661765A407EE200FA7D0B3540,0101000020E610000014950D6B2A755A40FC1C1F2DCE083540,work,moto,11_13,2.289254412,30.0,cost convinient timesaving,0,3,0,0,,,,,,,,,,,,high_rise,permanent,owner,parking,jam,unsafe,slow,300.0,no,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
2076,131250577,36_55,state,male,21.051887,105.885465,21.051887,105.885465,0101000020E61000002B306475AB785A406A166877480D3540,0101000020E61000002B306475AB785A406A166877480D3540,leisure,car,14_16,0.0,30.0,convinient,3,0,0,0,,,,,,,,,,,,private_new,permanent,owner,parking,jam,unsafe,slow,300.0,yes,car,car,1,0,0,0,0,0,0,good,bad,neutral,bad,bad,verybad,agree
2077,131250584,26_35,state,male,21.034837,105.914256,21.027827,105.904747,0101000020E6100000FE0A992B837A5A40D5B0DF13EB083540,0101000020E6100000DD09F65FE7795A401FF296AB1F073540,work,ebike,14_16,1.25761371,10.0,cost convinient,0,3,0,0,,,,,,,,,,,,old_building,long_stay,parent_house,parking,jam,unsafe,slow,300.0,donotcare,moto,car ebike bike bus lighttrain taxi,1,1,1,1,1,1,0,verygood,neutral,bad,verybad,verybad,verybad,neutral
2078,131250587,26_35,fdi,female,21.033076,105.845402,21.031794,105.831105,0101000020E6100000467EFD101B765A40524832AB77083540,0101000020E6100000B1A206D330755A408335CEA623083540,work,moto,11_13,1.490674401,15.0,convinient,3,2,2,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,unsafe,slow,100.0,yes,moto,ebike bike bus taxi,0,1,1,1,0,1,0,good,neutral,bad,bad,bad,verybad,neutral
2079,131250590,36_55,state,male,21.036279,105.912798,21.051299,105.885084,0101000020E6100000AB764D486B7A5A4016889E9449093540,0101000020E6100000A08D5C37A5785A40485167EE210D3540,work,ebike,11_13,3.325890341,15.0,convinient,1,2,0,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,unsafe,slow,500.0,no,moto,ebike bike bus walk,0,1,1,1,0,0,1,good,neutral,neutral,good,bad,verybad,strongdisagree
2080,131250964,18_25,private,female,21.033956,105.856618,20.969732,105.829598,0101000020E61000008ECA4DD4D2765A40C3802557B1083540,0101000020E6100000EEB4352218755A407AE2395B40F83440,work,moto,11_13,7.672481554,30.0,convinient,1,1,0,0,,,,,,,,,,,,private_new,long_stay,parent_house,parking,jam,unsafe,slow,50.0,no,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,verygood,bad,bad,strongdisagree
2081,131251835,26_35,private,female,20.989808,105.865299,21.030994,105.829432,0101000020E6100000BC900E0F61775A40B5519D0E64FD3440,0101000020E61000006090F46915755A404A5F0839EF073540,work,car,4_7,5.902100761,35.0,convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,slow,slow,1000.0,yes,no,car,1,0,0,0,0,0,0,neutral,good,good,neutral,good,neutral,neutral
2082,131252259,18_25,fdi,male,21.046653,105.878139,21.030711,105.924733,0101000020E6100000E695EB6D33785A40A2427573F10B3540,0101000020E61000000C2252D32E7B5A40A1A014ADDC073540,visit,moto,1_3,5.15032649,30.0,cost convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,owner,parking,jam,unsafe,slow,1000.0,yes,no,car,1,0,0,0,0,0,0,good,good,good,neutral,good,neutral,disagree
2083,131252729,56_75,retired,female,21.049497,105.887142,21.048055,105.873465,0101000020E61000001D3A3DEFC6785A400740DCD5AB0C3540,0101000020E6100000D74CBED9E6775A40C7681D554D0C3540,shopping,moto,1_3,1.428367318,5.0,cost convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,owner,cost,jam,unsafe,slow,1000.0,yes,no,ebike,0,1,0,0,0,0,0,good,good,good,neutral,neutral,neutral,disagree
2084,131253602,36_55,private,male,21.047214,105.881564,21.026508,105.910392,0101000020E61000002E55698B6B785A40D1E97937160C3540,0101000020E610000090A2CEDC437A5A401615713AC9063540,work,moto,1_3,3.775239558,10.0,cost convinient timesaving,0,2,2,0,,,,,,,,,,,,high_rise,permanent,owner,cost,jam,unsafe,slow,700.0,yes,car,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
2085,131254334,36_55,state,male,21.045972,105.877924,21.010444,105.85149,0101000020E6100000E71725E82F785A401E882CD2C40B3540,0101000020E6100000BFB7E9CF7E765A407E703E75AC023540,work,moto,4_7,4.809782889,15.0,cost convinient timesaving,0,2,2,0,,,,,,,,,,,,high_rise,permanent,owner,cost,jam,unsafe,slow,700.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,good,neutral,disagree
2086,131412947,18_25,private,male,21.062223,105.895962,21.062223,105.895962,0101000020E61000005C1D007157795A401B0FB6D8ED0F3540,0101000020E61000005C1D007157795A401B0FB6D8ED0F3540,leisure,moto,14_16,0.0,7.0,convinient,0,2,0,0,,,,,,,,,,,,private_new,permanent,owner,parking,jam,unsafe,slow,500.0,no,moto,ebike bike,0,1,1,0,0,0,0,neutral,neutral,good,good,neutral,verybad,strongdisagree
2087,131412953,56_75,state,male,21.062206,105.895954,21.062206,105.895954,0101000020E61000001B2E724F57795A406F9D7FBBEC0F3540,0101000020E61000001B2E724F57795A406F9D7FBBEC0F3540,work,moto,11_13,0.0,30.0,cost convinient,0,more_5,0,0,,,,,,,,,,,,high_rise,long_stay,owner,parking,jam,unsafe,slow,30.0,no,moto,ebike bike,0,1,1,0,0,0,0,good,neutral,bad,verybad,verybad,verybad,strongdisagree
2088,131412956,26_35,state,male,21.062264,105.895941,21.062264,105.895941,0101000020E61000005089EB1857795A40D8B79388F00F3540,0101000020E61000005089EB1857795A40D8B79388F00F3540,work,moto,11_13,0.0,20.0,convinient,0,2,0,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,unsafe,slow,500.0,donotcare,moto,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,bad,bad,verybad,strongdisagree
2089,131604020,26_35,private,male,21.019815,105.852142,21.021458,105.861665,0101000020E61000001363997E89765A4062F8889812053540,0101000020E6100000E7C6F48425775A40D13C80457E053540,work,moto,8_10,1.00518362,15.0,cost,0,2,0,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,unsafe,slow,500.0,no,moto,ebike,0,1,0,0,0,0,0,neutral,neutral,neutral,neutral,bad,verybad,agree
2090,131604022,18_25,state,male,21.019415,105.852404,21.01617,105.856006,0101000020E6100000B2BE81C98D765A40450DA661F8043540,0101000020E610000081CB63CDC8765A40232D95B723043540,work,moto,8_10,0.519597238,15.0,cost convinient,0,3,0,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,unsafe,slow,500.0,donotcare,moto,bike walk,0,0,1,0,0,0,1,neutral,neutral,neutral,neutral,bad,verybad,strongdisagree
2091,132511481,36_55,state,female,21.064715,105.87664,21.065717,105.898086,0101000020E61000006397A8DE1A785A40868F882991103540,0101000020E6100000B6BFB33D7A795A408ECA4DD4D2103540,work,moto,8_10,2.22811334,10.0,cost convinient,0,2,0,0,,,,,,,,,,,,private_house,long_stay,owner,parking,jam,unsafe,slow,150.0,yes,moto,bike,0,0,1,0,0,0,0,verygood,good,neutral,bad,neutral,verybad,disagree
2092,133388447,18_25,private,male,21.019297,105.8534,21.053035,105.885701,0101000020E6100000029A081B9E765A4032E9EFA5F0043540,0101000020E610000035423F53AF785A401A8BA6B3930D3540,work,moto,1_3,5.031096915,20.0,convinient timesaving,0,2,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
2093,133388665,18_25,private,male,21.019738,105.852628,21.010922,105.859737,0101000020E6100000D9E9077591765A400B7DB08C0D053540,0101000020E6100000508A56EE05775A4092CEC0C8CB023540,work,moto,4_7,1.226982535,10.0,cost convinient timesaving,0,2,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,good,neutral,disagree
2094,133389067,26_35,state,female,21.031152,105.826378,21.04637,105.876821,0101000020E610000092088D60E3745A407A34D593F9073540,0101000020E61000008CDCD3D51D785A40F98381E7DE0B3540,work,moto,1_3,5.501795549,20.0,cost convinient timesaving,0,1,1,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,1000.0,yes,car,car,1,0,0,0,0,0,0,good,good,neutral,neutral,good,neutral,disagree
2095,133389436,18_25,private,male,21.030874,105.828938,21.03512,105.823874,0101000020E6100000581AF8510D755A40F54BC45BE7073540,0101000020E61000009581035ABA745A407E6FD39FFD083540,work,ebike,1_3,0.706498656,5.0,cost convinient,0,1,1,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,1000.0,yes,car,ebike,0,1,0,0,0,0,0,good,good,good,neutral,neutral,neutral,neutral
2096,133389812,18_25,private,male,21.017324,105.830805,20.99558,105.842714,0101000020E61000009C16BCE82B755A40976F7D586F043540,0101000020E61000006878B306EF755A403B8DB454DEFE3440,work,moto,1_3,2.71553139,10.0,cost convinient timesaving,0,3,0,0,,,,,,,,,,,,old_building,long_stay,rent,cost,jam,unsafe,slow,700.0,yes,car,car,1,0,0,0,0,0,0,good,good,neutral,neutral,good,neutral,disagree
2097,133390162,18_25,private,male,21.012968,105.835762,21.053085,105.885692,0101000020E6100000554FE61F7D755A4000E5EFDE51033540,0101000020E61000000C957F2DAF785A407DE882FA960D3540,work,moto,1_3,6.837590722,25.0,convinient timesaving,0,3,0,0,,,,,,,,,,,,old_building,long_stay,rent,cost,jam,unsafe,slow,700.0,yes,car,car,1,0,0,0,0,0,0,good,good,neutral,neutral,neutral,neutral,disagree
2098,133390403,18_25,state,male,21.044693,105.85001,21.030273,105.847199,0101000020E610000078D1579066765A40315C1D00710B3540,0101000020E61000000D8D278238765A40AAF3A8F8BF073540,work,moto,1_3,1.629757054,10.0,cost convinient timesaving,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,700.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,disagree
2099,133390751,18_25,private,male,21.030874,105.828896,21.026267,105.817823,0101000020E610000041F2CEA10C755A40F54BC45BE7073540,0101000020E6100000AABA473657745A40CBF6216FB9063540,work,moto,1_3,1.258265642,8.0,cost convinient timesaving,0,3,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,jam,unsafe,slow,700.0,yes,car,car,1,0,0,0,0,0,0,good,good,neutral,neutral,neutral,neutral,disagree
2100,133391320,18_25,private,male,21.031955,105.811944,21.015932,105.808768,0101000020E6100000BD8BF7E3F6735A4095F1EF332E083540,0101000020E61000004983DBDAC2735A40BAF59A1E14043540,work,moto,1_3,1.811918073,15.0,cost convinient timesaving,0,2,0,0,,,,,,,,,,,,old_building,long_stay,rent,cost,jam,unsafe,slow,1200.0,yes,car,car,1,0,0,0,0,0,0,good,neutral,good,neutral,good,neutral,disagree
2101,133391935,18_25,private,male,21.031955,105.811772,21.013088,105.816278,0101000020E6100000BFF38B12F4735A4095F1EF332E083540,0101000020E61000006F9C14E63D745A4055F833BC59033540,work,moto,1_3,2.149418229,15.0,convinient timesaving,0,2,0,0,,,,,,,,,,,,old_building,long_stay,rent,cost,jam,unsafe,slow,1200.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,disagree
2102,133392879,26_35,private,female,21.053504,105.840011,21.024984,105.854874,0101000020E6100000F0517FBDC2755A4087342A70B20D3540,0101000020E6100000D80C7041B6765A405BECF65965063540,work,car,4_7,3.526527803,15.0,convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,unsafe,slow,500.0,yes,no,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,neutral
2103,133393537,26_35,state,male,21.015251,105.853658,21.002992,105.856962,0101000020E610000000FE2955A2765A40363B527DE7033540,0101000020E61000008BFA2477D8765A404E266E15C4003540,work,moto,1_3,1.4056238,12.0,cost convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,parent_house,cost,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,disagree
2104,133393886,26_35,private,male,21.015652,105.854344,20.98388,105.851727,0101000020E61000002AE27492AD765A40F31DFCC401043540,0101000020E6100000B187F6B182765A404030478FDFFB3440,work,moto,1_3,3.543320718,15.0,cost convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,parent_house,parking,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,disagree
2105,133394282,26_35,state,male,21.015612,105.854988,21.035881,105.792117,0101000020E61000003D9E961FB8765A40D76CE525FF033540,0101000020E6100000C366800BB2725A403B8C497F2F093540,work,moto,1_3,6.903740206,30.0,cost convinient timesaving,0,2,0,0,,,,,,,,,,,,private_new,long_stay,rent,cost,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,good,good,neutral,disagree
2106,133394601,26_35,state,female,21.012044,105.865728,21.045171,105.881394,0101000020E6100000D1CE691668775A40EF1CCA5015033540,0101000020E6100000003961C268785A4045BA9F53900B3540,work,moto,1_3,4.026461181,20.0,convinient timesaving,0,2,0,0,,,,,,,,,,,,private_new,long_stay,rent,cost,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,disagree
2107,133399840,26_35,private,male,21.024584,105.851307,21.021898,105.823682,0101000020E6100000C7F65AD07B765A403F0114234B063540,0101000020E61000007313B534B7745A400AD9791B9B053540,work,car,1_3,2.882806039,15.0,convinient timesaving,1,1,0,0,,,,,,,,,,,,private_new,long_stay,rent,parking,jam,unsafe,slow,1000.0,yes,no,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,neutral
2108,133400443,18_25,private,female,21.015008,105.864485,21.010563,105.821292,0101000020E61000007CB8E4B853775A40AA2D7590D7033540,0101000020E6100000DA1D520C90745A40338CBB41B4023540,work,moto,4_7,4.510624299,30.0,convinient timesaving,0,1,1,0,,,,,,,,,,,,old_building,long_stay,rent,cost,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,good,good,neutral,neutral,neutral,neutral,disagree
2109,133400869,26_35,state,male,21.048535,105.872779,21.023408,105.846803,0101000020E6100000AD68739CDB775A401CB62DCA6C0C3540,0101000020E6100000E6C9350532765A40FB761211FE053540,work,moto,1_3,3.88256957,20.0,convinient timesaving,0,2,0,0,,,,,,,,,,,,private_new,long_stay,rent,cost,jam,unsafe,slow,500.0,yes,car,car,1,0,0,0,0,0,0,good,neutral,good,neutral,good,neutral,disagree
2110,133401143,26_35,fdi,male,21.034316,105.810322,21.016152,105.851319,0101000020E6100000AD4ECE50DC735A40C3BAF1EEC8083540,0101000020E6100000A9DDAF027C765A40D7C3978922043540,work,car,1_3,4.710177949,30.0,convinient timesaving,1,1,0,0,,,,,,,,,,,,high_rise,permanent,owner,cost,jam,unsafe,slow,500.0,yes,no,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,neutral
2111,133418877,36_55,private,female,21.043689,105.874666,21.007038,105.851297,0101000020E6100000153B1A87FA775A40E831CA332F0B3540,0101000020E6100000B58B69A67B765A404AD40B3ECD013540,work,moto,1_3,4.742583153,20.0,convinient timesaving,1,2,0,0,,,,,,,,,,,,private_house,permanent,owner,parking,jam,unsafe,slow,700.0,yes,car,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,disagree
2112,133419658,36_55,private,female,21.048816,105.882512,21.034479,105.829668,0101000020E6100000F7949C137B785A40838593347F0C3540,0101000020E61000006AA2CF4719755A401766A19DD3083540,work,moto,1_3,5.711193012,30.0,convinient timesaving,1,2,0,0,,,,,,,,,,,,high_rise,permanent,owner,cost,jam,unsafe,slow,500.0,yes,no,car,1,0,0,0,0,0,0,good,good,good,neutral,good,neutral,disagree
2113,133420566,36_55,fdi,female,21.045491,105.875395,21.011485,105.857263,0101000020E61000003E05C07806785A402843554CA50B3540,0101000020E61000008944A165DD765A40026553AEF0023540,work,moto,1_3,4.223723549,15.0,convinient timesaving,1,2,1,0,,,,,,,,,,,,high_rise,permanent,owner,parking,jam,unsafe,slow,1000.0,yes,car,car,1,0,0,0,0,0,0,good,neutral,good,neutral,good,neutral,disagree
2114,133420882,36_55,private,male,21.019375,105.852794,20.998422,105.821369,0101000020E6100000670E492D94765A40295C8FC2F5043540,0101000020E6100000B03C484F91745A405F9B8D9598FF3440,work,car,4_7,4.008625807,30.0,convinient timesaving,1,3,0,0,,,,,,,,,,,,private_house,permanent,owner,parking,jam,unsafe,slow,500.0,yes,no,car,1,0,0,0,0,0,0,good,good,good,neutral,neutral,neutral,neutral
2115,133421208,26_35,private,female,21.047854,105.880411,21.040405,105.867377,0101000020E6100000790261A758785A4098FBE428400C3540,0101000020E61000005E13D21A83775A404A9869FB570A3540,work,moto,1_3,1.586108328,5.0,cost convinient timesaving,0,3,1,0,,,,,,,,,,,,private_house,permanent,owner,cost,jam,unsafe,slow,700.0,yes,car,car,1,0,0,0,0,0,0,good,good,neutral,neutral,good,neutral,disagree
