rowid,id,age,occup,gender,origlat,origlon,destlat,destlon,orig_geom,dest_geom,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
12636,139619169,36_55,state,female,21.005518,105.780252,20.975597,105.835164,0101000020E6100000DFA815A6EF715A40118AADA069013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.600602516,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12637,139619291,26_35,fdi,female,21.004823,105.778742,20.975597,105.835164,0101000020E61000006281AFE8D6715A40C34483143C013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.698637986,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12638,139619405,26_35,state,female,21.004993,105.779086,20.975597,105.835164,0101000020E610000060B1868BDC715A407CB5A33847013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.676663072,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12639,139619467,36_55,state,female,21.005145,105.779301,20.975597,105.835164,0101000020E61000005E2F4D11E0715A40E8BCC62E51013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.665521766,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12640,139619516,36_55,student,female,21.005273,105.779517,20.975597,105.835164,0101000020E6100000446B459BE3715A40438D429259013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.653065886,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12641,139619587,26_35,state,female,21.005324,105.779596,20.975597,105.835164,0101000020E6100000EA059FE6E4715A4048E2E5E95C013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.648762224,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12642,139619678,36_55,state,female,21.00535,105.77968,20.975597,105.835164,0101000020E61000001956F146E6715A409A081B9E5E013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.642636166,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12643,139619776,36_55,state,female,21.005529,105.780172,20.975597,105.835164,0101000020E610000050508A56EE715A40F92D3A596A013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.60839265,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12644,139619879,36_55,state,female,21.005419,105.77994,20.975597,105.835164,0101000020E6100000E7357689EA715A40EBC6BB2363013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.62308061,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12645,139619932,26_35,fdi,female,21.004575,105.778878,20.975597,105.835164,0101000020E6100000BB641C23D9715A401361C3D32B013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.672939937,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12646,139620022,36_55,state,female,21.00444,105.778707,20.975597,105.835164,0101000020E6100000A48AE255D6715A4053CBD6FA22013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.681274675,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12647,139620100,36_55,fdi,female,21.004354,105.778491,20.975597,105.835164,0101000020E6100000BE4EEACBD2715A40569BFF571D013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.696384995,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12648,139620150,36_55,state,female,21.004947,105.778352,20.975597,105.835164,0101000020E6100000AD31E884D0715A409C36E33444013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.740733823,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12649,139620204,36_55,state,female,21.004958,105.77811,20.975597,105.835164,0101000020E610000032ACE28DCC715A4083DA6FED44013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.763317554,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12650,139620248,26_35,fdi,female,21.00427,105.779056,20.975597,105.835164,0101000020E61000002A70B20DDC715A409B5AB6D617013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.640418981,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12651,139620286,36_55,state,female,21.004002,105.779253,20.975597,105.835164,0101000020E6100000D593F947DF715A405C1E6B4606013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.608195288,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12652,139620371,56_75,state,female,21.00391,105.778824,20.975597,105.835164,0101000020E6100000C1559E40D8715A409B20EA3E00013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.642496911,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
14542,141034264,36_55,fdi,male,21.01148,105.807285,21.022877,105.795398,0101000020E61000004963B48EAA735A40DE8E705AF0023540,0101000020E6100000725303CDE7725A40A2D45E44DB053540,visit,car,1_3,1.768726139,20.0,convinient,1,2,0,0,11_15,6_10,,1_5,,,,neutral,good,neutral,good,private_new,permanent,owner,parking,jam,jam,slow,150.0,yes,no,car bike lighttrain,1,0,1,0,1,0,0,verygood,good,neutral,good,verygood,good,agree
12653,139620455,36_55,student,female,21.003994,105.778525,20.975597,105.835164,0101000020E61000009487855AD3715A40566133C005013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.674258798,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12654,139620481,26_35,state,female,21.003976,105.778443,20.975597,105.835164,0101000020E610000035B39602D2715A400AF8359204013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.680814687,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12655,139620654,36_55,state,female,21.004184,105.778252,20.975597,105.835164,0101000020E6100000FB027AE1CE715A409D2ADF3312013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,shopping,moto,1_3,6.70922224,10.0,cost timesaving other,2,0,2,1,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,neutral
12656,139621797,26_35,student,female,21.005081,105.780355,20.975597,105.835164,0101000020E610000049111956F1715A40BBD408FD4C013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,work,moto,1_3,6.566983125,10.0,cost timesaving other,1,2,2,0,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,agree
12657,139621876,56_75,student,female,21.004951,105.780541,20.975597,105.835164,0101000020E6100000FA0B3D62F4715A401E15FF7744013540,0101000020E6100000FBB2B45373755A40621399B9C0F93440,work,moto,1_3,6.543037951,10.0,cost timesaving other,1,2,2,0,6_10,6_10,1_5,1_5,,,very_good,neutral,good,neutral,neutral,private_house,permanent,owner,parking,jam,jam,unsafe,100.0,yes,no,car bike lighttrain walk,1,0,1,0,1,0,1,good,neutral,good,verygood,good,neutral,agree
