rowid,id,age,occup,gender,origlat,origlon,destlat,destlon,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban,index
47,77575570,18_25,student,male,20.995179,105.866103,20.996381,105.865502,education,walk,14_16,0.147501659,15,convinient other,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,jam,unsafe,slow,700,yes,no,walk,0,0,0,0,0,0,1,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
48,77575757,18_25,student,male,20.987923,105.846397,21.016569,105.82936,work,moto,11_13,3.643345717,15,cost convinient,0,2,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,parking,parking,parking,300,no,no,bus,0,0,0,1,0,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree,1
49,77575891,26_35,private,female,21.052062,105.787396,21.041248,105.804734,work,moto,17_20,2.164105692,10,convinient,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,jam,unsafe,slow,1000,no,no,bus,0,0,0,1,0,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree,1
50,77575957,26_35,private,male,21.048565,105.790735,21.055422,105.784642,work,moto,11_13,0.990527458,10,cost,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,parking,parking,parking,300,no,bike,bike,0,0,1,0,0,0,0,neutral,bad,neutral,neutral,neutral,neutral,disagree,1
51,77576261,26_35,private,male,21.037238,105.798846,21.036253,105.793568,work,moto,11_13,0.558614598,10,cost,0,4,0,0,,,,,,,,,,,,high_rise,long_stay,rent,parking,parking,parking,parking,540,no,no,walk,0,0,0,0,0,0,1,good,good,good,good,good,good,disagree,1
52,77576649,18_25,student,male,20.992642,105.760824,21.01116,105.797774,visit,moto,11_13,4.353463572,10,cost,0,1,0,0,,,,,,,,,,,,private_house,permanent,owner,parking,parking,parking,parking,1000,no,moto,bus walk,0,0,0,1,0,0,1,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
53,77576852,36_55,private,male,20.961523,105.825157,20.989934,105.805841,work,moto,11_13,3.741977247,20,cost convinient,1,2,0,1,,,,,,,,,,,,high_rise,permanent,owner,parking,parking,parking,parking,200,yes,no,bus lighttrain,0,0,0,1,1,0,0,good,good,good,good,good,good,strongagree,1
54,77577021,36_55,private,male,20.96412,105.826399,20.975301,105.76297,work,moto,11_13,6.702196811,30,cost convinient,1,2,0,1,,,,,,,,,,,,high_rise,permanent,owner,parking,parking,parking,parking,200,yes,no,bus walk,0,0,0,1,0,0,1,good,good,good,good,good,good,neutral,1
55,77577202,less_18,student,female,20.963559,105.826785,20.967671,105.836012,education,bike,11_13,1.061585583,15,cost convinient,1,2,0,1,,,,,,,,,,,,high_rise,permanent,parent_house,parking,parking,parking,parking,200,yes,no,bus lighttrain,0,0,0,1,1,0,0,good,good,good,good,good,good,strongagree,1
56,77577365,26_35,private,female,21.009854,105.797688,21.012226,105.801422,work,moto,11_13,0.468825599,10,cost,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,parking,parking,jam,parking,472,no,no,bus,0,0,0,1,0,0,0,good,good,good,good,good,good,neutral,1
57,77577637,18_25,student,female,21.038042,105.783981,21.047308,105.785671,education,walk,11_13,1.045154866,15,cost convinient,0,0,0,0,,,,,,,,,,,,old_building,long_stay,rent,jam,jam,jam,jam,650,no,no,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1
58,77578080,18_25,student,female,21.046739,105.780136,21.047156,105.784384,education,walk,11_13,0.443276025,10,cost,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,500,no,no,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
59,77578309,18_25,student,female,20.982772,105.782344,21.007803,105.824467,education,moto,11_13,5.183553263,20,cost convinient,0,3,0,0,,,,,,,,,,,,high_rise,long_stay,rent,cost,cost,cost,cost,600,yes,no,bus,0,0,0,1,0,0,0,good,good,good,good,good,good,disagree,1
60,77578377,18_25,student,male,21.001793,105.828071,20.999758,105.828158,shopping,ebike,11_13,0.22646219,10,cost convinient,0,0,4,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,400,no,no,car,1,0,0,0,0,0,0,good,good,good,good,good,good,disagree,1
61,77578618,18_25,student,male,21.006769,105.824124,21.003372,105.828459,visit,moto,11_13,0.587519402,10,cost convinient,0,more_5,0,0,,,,,,,,,,,,old_building,long_stay,rent,cost,cost,cost,cost,300,no,no,car bus,1,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
62,77717752,36_55,state,female,20.963312,105.826887,21.00344,105.843082,work,moto,8_10,4.768314537,20,convinient timesaving,0,2,1,0,1_5,16_20,,,,,good,good,good,good,good,high_rise,permanent,owner,cost,jam,slow,slow,100,donotcare,car,bus lighttrain,0,0,0,1,1,0,0,verybad,verybad,neutral,neutral,bad,bad,agree,1
63,77717479,36_55,retired,male,20.964722,105.827531,21.016605,105.860568,caring,moto,1_3,6.71165056,20,convinient,0,3,0,0,,1_5,,,,1_5,good,good,good,good,good,high_rise,long_stay,parent_house,cost,cost,slow,slow,150,yes,no,bus,0,0,0,1,0,0,0,bad,bad,neutral,neutral,bad,bad,agree,1
64,77716338,56_75,retired,female,20.991899,105.818372,20.992535,105.818061,shopping,walk,8_10,0.077741532,3,convinient,0,2,0,0,,1_5,,,1_5,1_5,good,good,good,neutral,neutral,private_house,permanent,owner,cost,cost,cost,slow,900,donotcare,no,lighttrain walk,0,0,0,0,1,0,1,verybad,verybad,good,good,verybad,verybad,neutral,1
65,77715685,26_35,state,female,21.011381,105.80427,21.025019,105.813185,work,car,8_10,1.776507661,7,convinient,2,1,0,0,16_20,1_5,,,,,good,good,neutral,neutral,neutral,high_rise,permanent,owner,cost,jam,slow,slow,500,yes,no,car,1,0,0,0,0,0,0,neutral,bad,good,good,bad,bad,agree,1
66,77718052,36_55,state,female,20.963266,105.82684,20.972788,105.823324,work,moto,8_10,1.119970939,5,cost convinient timesaving,1,2,0,0,1_5,16_20,,,,,good,good,good,good,good,high_rise,permanent,owner,parking,jam,slow,slow,100,donotcare,no,walk,0,0,0,0,0,0,1,bad,bad,neutral,neutral,bad,bad,disagree,1
67,84750088,26_35,private,female,20.997117,105.784162,21.013689,105.800738,work,moto,4_7,2.521188912,15,convinient timesaving,0,2,0,1,,,,,,,,,,,,high_rise,permanent,owner,parking,jam,slow,slow,1000,yes,no,bike bus walk,0,0,1,1,0,0,1,bad,bad,neutral,neutral,bad,bad,agree,1
68,84734988,18_25,private,female,20.983329,105.82147,20.989534,105.830273,caring,walk,4_7,1.14512004,5,cost,0,3,0,0,,,,,,,neutral,neutral,neutral,neutral,neutral,private_house,long_stay,rent,cost,jam,unsafe,slow,1000,donotcare,no,car ebike bike bus lighttrain taxi walk,1,1,1,1,1,1,1,verygood,good,good,good,good,good,neutral,1
69,79374778,18_25,student,male,20.988812,105.810262,20.995511,105.806572,education,moto,11_13,0.837626611,15,cost convinient,0,2,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,1000,no,no,bus,0,0,0,1,0,0,0,good,good,good,good,good,good,disagree,1
70,79371747,18_25,student,male,21.021945,105.797087,21.013171,105.801422,visit,moto,11_13,1.074388716,20,cost convinient,0,2,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,300,yes,no,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
71,79372401,18_25,student,male,20.999983,105.819747,20.989028,105.805584,work,moto,11_13,1.909366243,15,cost,0,3,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,350,no,car,car,1,0,0,0,0,0,0,good,good,good,good,good,good,disagree,1
72,79372998,18_25,student,male,20.990727,105.794426,21.059771,105.886823,work,moto,11_13,12.28459137,60,cost,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,1000,yes,no,lighttrain,0,0,0,0,1,0,0,bad,bad,bad,bad,bad,bad,neutral,1
73,79373450,18_25,student,male,20.995816,105.813094,20.996136,105.807001,education,moto,11_13,0.633528802,5,cost,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,400,no,no,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
74,79373851,18_25,student,female,20.981063,105.799963,20.86451,105.852748,visit,moto,11_13,14.07201721,55,cost convinient,0,1,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,1000,no,no,bus,0,0,0,1,0,0,0,good,good,good,good,good,good,disagree,1
75,79374244,18_25,student,male,20.981728,105.800048,20.995912,105.807129,education,bus,11_13,1.740100415,30,cost,0,2,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,1000,no,no,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree,1
76,79375504,18_25,student,male,20.987362,105.793996,20.981039,105.787002,education,walk,11_13,1.010733618,20,timesaving,0,0,0,0,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,600,yes,no,lighttrain,0,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree,1
